PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),530 nm Activity,530 nm Potency (uM),530 nm Efficacy (%),460 nm Activity,460 nm Potency (uM),460 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
2591,144209603,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2592,144209604,7958,CC(C)CC(=O)CC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2593,144209605,448537,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,37.7124,-113.519,inconclusive agonist,44.9937,72.5301,active antagonist,50.0017,-127.856,inconclusive antagonist,56.1028,-117.207,SigmaAldrich
2594,144209606,7896,CC(CCO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2595,144209607,2761171,CCC1=NC=CC(=C1)C(=S)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2596,144209608,17719,CC(C)(C1=CC(=CC=C1)C(C)(C)N=C=O)N=C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2597,144209609,10958,CC(C)CON=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2598,144209610,7972,CN1CCOCC1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2599,144209611,4173,CC1=NC=C(N1CCO)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2600,144209612,2796,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2601,144209613,7017,C1=CC=C(C=C1)C2=CC=CC=C2O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
2602,144209614,7031,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,Active,52,,,active antagonist,active antagonist,1.72061,-47.5756,active agonist,,19.6271,active antagonist,0.684986,-44.4611,inactive,,0,SigmaAldrich
2603,144209615,5054,C1=CC(=CC(=C1)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2604,144209616,1269845,C1=CNC(=S)NC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2605,144209617,638186,C(=C/Cl)\Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
2606,144209618,6786,CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Supelco
2607,144209619,30541,CCCCC(CC)COC(=O)C1=CC=C(C=C1)N(C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,,inactive,,0,inconclusive antagonist,,,inactive,,0,SIGMA
2608,144209620,7410,CC(=O)C1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2609,144209621,11074431,CC1=CC(=O)[N-]S(=O)(=O)O1.[K+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2610,144209622,9395,CCOP(=O)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-45.6346,inactive,,0,inconclusive antagonist,6.24149,-67.4671,inactive,,0,Crescent
2611,144209623,3102,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2612,144209624,8158,CCCCCCCCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2613,144209625,323,C1=CC=C2C(=C1)C=CC(=O)O2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Pfaltz-Bauer
2614,144209626,13838,C[Si](C)(C)N[Si](C)(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2615,144209627,6782,CC(C)COC(=O)C1=CC=CC=C1C(=O)OCC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2616,144209628,175854,C(/C=C/CO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
2617,144209629,12301,CCOCC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2618,144209630,19999,CCC(=O)[O-].CCC(=O)[O-].[Ca+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2619,144209631,853433,C/C=C/C1=CC(=C(C=C1)O)OC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive,,,inactive,,0,SIGMA
2620,144209632,61056,CC(C)CC(C)CC(CC(C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Sensient
2621,144209633,7422,CC1=CC(=CC=C1)[N+](=O)[O-],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2622,144209634,7232,C1CCC(CC1)NSC2=NC3=CC=CC=C3S2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Sensient
2623,144209635,7732,COC1=CC=C(C=C1)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2624,144209636,15787,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2625,144209637,5144,C=CCC1=CC2=C(C=C1)OCO2,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2626,144209638,8172,C(COCCOCCO)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2627,144209639,445354,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C,Inconclusive,5,,,inconclusive,inconclusive antagonist,55.6341,-33.5412,inconclusive agonist,,,inconclusive agonist,,,inactive,,0,SIGMA
2628,144209640,14868,C1=CC(=CC=C1NC(=O)C2=C(C(=CC(=C2)Br)Br)O)Br,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,6.63264,-85.8202,active agonist,11.3506,73.5629,active antagonist,11.7947,-100.555,active antagonist,12.2561,-82.8745,Supelco
2629,144209641,8411,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2630,144209642,980,C1=CC(=CC=C1[N+](=O)[O-])O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2631,144209643,1988,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2632,144209644,3225,C1CC2C(C(C1O2)C(=O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MP Biomedicals
2633,144209645,244,C1=CC=C(C=C1)CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2634,144209646,743,C(CC(=O)O)CC(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
2635,144209647,7954,C1(=NC(=NC(=N1)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2636,144209648,8083,C1COCCN1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2637,144209649,12734,CC(C)N=C=NC(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2638,144209650,356,CCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2639,144209651,81530,CCOC(=O)C(=C)C#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2640,144209652,23284,CC(C)C(C(C)(C)COC(=O)C(C)C)OC(=O)C(C)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2641,144209653,612,CC(C(=O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,RTI
2642,144209654,76013,CC(C)(C1=CC=CC=C1)C2=CC(=C(C=C2)O)C(C)(C)C3=CC=CC=C3,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,20.8559,-64.5114,active antagonist,61.0796,-64.0823,active antagonist,51.3921,-159.279,inconclusive antagonist,34.3476,-107.795,SIGMA
2643,144209655,14236,CCCC[Sn](Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2644,144209656,3016,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
2645,144209657,7807,C1=CC(=CC=C1N)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive,,,SIGMA
2646,144209658,1678,C(C[N+](=O)[O-])C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2647,144209659,33557,[N-]=[N+]=[N-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2648,144209660,6917,C=CN1CCCC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2649,144209661,6535,CCOP(=O)(OCC)OCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2650,144209662,6040503,CC(=O)/C=C/C1=CC2=C(C=C1)OCO2,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,55.2302,-129.864,active agonist,57.3909,96.4163,inconclusive antagonist,55.2302,-156.493,inactive,,0,Supelco
2651,144209663,6574,C(C(Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2652,144209664,11,C(CCl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2653,144209665,8981,CC1=CC(NC2=CC=CC=C12)(C)C,Active,41,,,active antagonist,active antagonist,47.7108,-57.1636,inactive,,0,inconclusive antagonist,20.1195,-36.6643,inactive,,0,SIGMA
2654,144209666,174223,CC1=C(C2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N)S(=O)(=O)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inconclusive agonist,30.4236,74.625,inconclusive antagonist,1.9196,-29.2976,SigmaAldrich
2655,144209667,155166,C1=C(C(=CC(=C1Br)Br)Br)OC2=CC(=C(C=C2Br)Br)Br,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,LKT Lab
2656,144209668,37034,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,Cerilliant
2657,144209669,1491,C1=CC(=C(C=C1O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2658,144209670,12266,CC1=CC=C(O1)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2659,144209671,5362708,CCCCCCCCC/C=C/CC1CC(=O)OC1=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2660,144209672,31426,CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)[N+](=O)[O-],Inconclusive,5,,,inconclusive,inconclusive antagonist,,-22.1218,inactive,,0,inactive,,0,inactive,,0,SIGMA
2661,144209673,3776,CC(C)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,62.5088,-107.504,inconclusive agonist,59.0121,83.176,inconclusive antagonist,62.5088,-97.495,inconclusive antagonist,59.0121,-71.5407,SIGMA
2662,144209674,759280,C1=CC(=CC=C1/C=C/C(=O)O)/C=C/C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2663,144209675,7069,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2664,144209676,12088,C1=CC(=CC=C1C=O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2665,144209677,177,CC=O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,54.3011,-110.66,inconclusive agonist,32.3451,54.6121,inconclusive antagonist,51.2636,-142.115,active antagonist,60.9269,-113.002,SIGMA
2666,144209678,180,CC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2667,144209679,6342,CC#N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Pfaltz-Bauer
2668,144209680,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Active,97,,,active antagonist,active antagonist,0.00175624,-78.401,active agonist,0.0110811,53.2718,active antagonist,0.00278345,-91.7565,inconclusive agonist,0.0599675,32.5751,SRI International
2669,144209681,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,63,,,active antagonist,active antagonist,2.54655,-97.5128,inconclusive agonist,1.37811,37.8629,active antagonist,2.96905,-115.471,inactive,,0,Toronto Research
2670,144209682,46783367,C[C@H]1/C=C/C=C\C=C\C=C\C=C\C=C\C=C\[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inactive,,0,inconclusive antagonist,54.9544,-89.0666,SIGMA
2671,144209683,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Radian International
2672,144209684,10771,C1=CC=C(C=C1)N=NC2=C(C=C(C=C2)N)N.Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2673,144209685,241,C1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2674,144209686,8478,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,54.8872,-84.0927,active antagonist,59.2659,-59.1225,inconclusive antagonist,54.8872,-117.359,inconclusive antagonist,43.5985,-133.406,Rohm and Haas
2675,144209687,82917,[CH-]1C=CC=C1.[CH-]1C=CC=C1.Cl[V]Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,,,inactive,,0,inconclusive antagonist,8.26978,-43.116,inconclusive antagonist,11.6814,-52.1233,SIGMA
2676,144209688,61591,B(F)(F)F.O.O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2677,144209689,261,CCCC=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2678,144209690,14782,O=[Cd],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2679,144209691,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2680,144209692,6212,C(Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2681,144209693,1794427,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Acros
2682,144209694,5284361,CCC(CCC(C(CC(C(C(CCl)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Pfaltz-Bauer
2683,144209695,6537498,CCC(CC(C(C(C(C(C)Cl)Cl)Cl)Cl)Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,Radian International
2684,144209696,14012,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Cr+3],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Spectrum Chemical
2685,144209697,10208,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2686,144209698,2767,[NH2-].[NH2-].Cl[Pt+2]Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,RTI
2687,144209699,61444,O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Co+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2688,144209700,92884,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Co+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2689,144209701,7406,CC(C)C1=CC=CC=C1,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Battelle Northwest
2690,144209702,6731,C1=CC=C2C(=C1)C=CC(=N2)C3C(=O)C4=CC=CC=C4C3=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2691,144209703,5889,C1=CC=C2C(=C1)C=CC3=CC4=C(C=CC5=CC=CC=C54)C=C32,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2692,144209704,8021,CCNCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2693,144209705,6537502,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)[C@H]([C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(C[C@H]([C@@H](C6)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O)C)C)O)C)OC1,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,60.6146,-72.4011,active antagonist,51.9889,-58.8764,active antagonist,58.3325,-149.64,active antagonist,23.2226,-118.252,TCI
2694,144209706,13816,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])N)C)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N.[Na+].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2695,144209707,19283,CCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCCCCC,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,ChemService
2696,144209708,702,CCO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2697,144209709,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,10.503,-102.331,inconclusive agonist,,19.0938,active antagonist,11.7846,-113.395,active antagonist,2.44332,-45.1018,SigmaAldrich
2698,144209710,8857,CCOC(=O)C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2699,144209711,8821,CCOC(=O)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2700,144209712,7611,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Fe+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2701,144209713,370,C1=C(C=C(C(=C1O)O)O)C(=O)O,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,,inactive,,0,inactive,,0,SIGMA
2702,144209714,,,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Shanghai Xingling
2703,144209715,7860,C(=O)C=O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2704,144209716,6450278,C/C=C/1\C(=O)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,24.0608,-74.958,inconclusive agonist,,,inconclusive antagonist,21.4442,-62.4653,inactive,,0,ChromaDex
2705,144209717,3552,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
2706,144209718,1123,C(CS(=O)(=O)O)N,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2707,144209719,2724411,CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.CN(C)C1=CC=C(C=C1)C(=C2C=CC(=[N+](C)C)C=C2)C3=CC=CC=C3.C(=O)(C(=O)O)O.C(=O)(C(=O)[O-])O.C(=O)(C(=O)[O-])O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,0.66587,-91.1967,active agonist,1.38056,116.59,active antagonist,0.80672,-109.539,active antagonist,0.940566,-108.2,Sensient
2708,144209720,460612,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
2709,144209721,887,CO,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2710,144209722,409301,C[Hg]Cl,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,12.2727,-109.318,active agonist,17.3356,120.536,active antagonist,13.2517,-108.65,active antagonist,22.6781,-112.884,SIGMA
2711,144209723,104827,CN(C)C1=CC2=C(C=C1)N=C3C=CC(=[N+](C)C)C=C3S2.O.O.O.[Cl-],Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,6.90612,-82.5748,inactive,,0,active antagonist,5.92335,-94.0725,inconclusive antagonist,21.0168,-83.0151,Acros
2712,144209724,6344,C(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2713,144209725,13628993,[CH-]1C=CC=C1.[CH-]1C=CC=C1.[Ni+2],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2714,144209726,5371728,CCCCCCCC/C=C\CCCCCCCC(=O)N(CCO)CCO,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,29.0639,-81.505,inactive,,0,inconclusive antagonist,51.6837,-129.989,inconclusive antagonist,48.7925,-132.014,Scher Chemicals
2715,144209727,66041,C=CC1=CC=C(C=C1)C=C,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,RTI
2716,144209728,24819,P(Cl)(Cl)(Cl)(Cl)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,FLUKA
2717,144209729,13539,CC(COC(=O)C(=C)C)O,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2718,144209730,26323,CCCSC(=O)Cl,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2719,144209731,60934,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O.CS(=O)(=O)O,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,58.9592,-100.166,inactive,,0,inconclusive antagonist,62.4527,-107.953,inconclusive antagonist,55.661,-139.49,LKT Lab
2720,144209732,23668195,[O-]Br(=O)=O.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2721,144209733,23668194,C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C.[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,TCI
2722,144209734,108005,O.O.[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[Na+].[Na+],Inconclusive,5,,,inconclusive,inconclusive,,,inactive,,0,inconclusive agonist,2.18269,53.7548,active antagonist,8.68945,-67.0035,SIGMA
2723,144209735,516919,OS(=O)(=O)[O-].[Na+],Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2724,144209736,,,Inconclusive,25,,,inconclusive antagonist (cytotoxic),inconclusive antagonist,49.8602,-81.4667,active antagonist,55.9441,-64.5817,inconclusive antagonist,49.8602,-165.083,active antagonist,58.1328,-124.113,SIGMA
2725,144209737,,,Inconclusive,5,,,inconclusive,inconclusive antagonist,,,inactive,,0,inactive,,0,inconclusive antagonist,,,SIGMA
